text,stars,sentiment,film_id
"Bláznivá devadesátková krejzy komedie za soukromé peníze čili product placement ( v té době tomu asi tak ani neříkali ) v hlavní roli - všichni pátrají na Kanárských ostrovech po ukradené receptuře na Becherovku. Jako točilo se na Kanárech v době, kdy byly stejně exkluzivní jako točit dneska ve Francouzské Polynesii, je to obsazeno prvoligově ( dokonce  legendy Satinský, Lasica, Kopecký , Vinklář...) a věřím, že herci se neskutečně vyblblli , ale výsledkem je něco hrozně nezábavného nevtipného až trapného, že já nevěřím, že to bavilo i to české devadesátkové publikum tehdy.",1,negative,9058
"Možná, že tvůrci asi chtěli, aby to byl jakýsi komedy-horor z třetí vlny. Jinak si ty neuvěřitelný ""chyby"" neumím vysvětlit. Odpad to není, ale nic od tohoto snímku nečekejte.[2/1O]",2,negative,131733
"Tento film má něco do sebe, přesto ale je hrozně nudný. Čekal jsem, že budou používat nějaké zbraně zl budoucnosti a ne kulomety a ruční zbraně. Námět na tu výbušninu, kterou vyhodil do povětří to pole meteoritů vypadá jako z hvězdé brány. Zdálo se mi to jaké nepovedené sci-fi od začínajícího režiséra, který předtím vůbec nic nenatočil. Na druhou stranu Dolph Lungren si umí sjednat pořádek, a bojovat stále dobře.
Za celkový dojem dávám tak 1 hvězdičku a to jenom za pár dobrejch akčních scén.",1,negative,162926
namachrovanejTom Cruise+ geniální autistaDustin Hoffman= výborný road-movie v kterým jedou okrádat kasina ve Vegas. No neber to.,5,positive,5954
"Okázalý vizuální styl, dramatické používání velkých detailů a pečlivě vypointované přestřelky používá Sergio Leone i ve své westernové opeře, které vévodí nesmrtelný a z hlavy těžko vytlačitelný harmonikový motiv. Poměrně složitě vystavěný příběh původně zkomolili producenti, kteří vystříhali hned několik scén, které by, dle jejich soudu, americké diváctvo mohlo postrádat. Nesmírně osobní archetypální příběh pomsty, velký důraz na misanscénu a soustředěné herecké výkony dělají z téhle látky něco opravdu věčného!!",4,positive,5911
"Hodně dlouho se pracovalo na trojce Discopříběhu,  ale jelikož práva stali hrozně moc peněz tak tu máme nový Discopříběh bez Potměšila se jménem Decibely Lásky. Tohohle filmu jsem se strašně bál. A je to stejně nesnesitelné jako první dva Discopříběhy. Vlastně ještě  více. PS:Nejlepší je na filmu cameo Karla Gotta, duet s  Ivou Janžurovou má aspoň nějaký osobní kouzlo.",1,negative,343970
"Scénář:Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin.. Chápu, z čeho se zde dělá sranda (církev sucks), ale jak se toho dociluje, mne převážně těžce míjí.",2,negative,23587
"Komentovat radši nebudu, něco jsem pochopil, něco ne a nejspíš stejně špatně. Babička podle Boženy Němcové....jen ji Lynch zřejmě nečetl....",4,positive,6253
"Těžko říci, zda to někdy mělo scénář, který by dával smysl. Ale ono tu vlastně smysl nedává téměř nic. Od vizuální podoby, která vypadá v každé scéně jinak, přes triky, ve kterých se zřejmě ztratil i pan režisér, až po herecký výkon Jiřiny Bohdalové v hlavní roli. Děti naštěstí mají dost rozumu, aby se podobným taškařicím pro starší a pokročilé (to platí zejména o senilitě) vyhnuly.",1,negative,224830
"Shlédl jsem tuto komediální - sci-fi časovku znovu po létech a musím uznat, že kvality neztrácí. ""Dáme vůdci vodíkovou bombu.""  Hitler: ""Vítězství je na dosah ruky."" - Můj vůdče, přicházíme, abychom v poslední chvíli zachránili Velkoněmeckou říši."" - ""Před čím?"" Svérázný trailer  je zde:http://www.youtube.com/watch?v=y119GJndfwgKromě výtečného Sováka a Brodského se v drobné roli zaskvěla i Marie Rosůlková: ""Tedy chovat se neumíte, v tom dějiny nelhaly.""",4,positive,7404
